Latitude (deg),Longitude (deg),Altitude (m),Time (s)
-33.938965,151.1844874,10.1,230
-33.93896681,151.1844811,10.09999996,231
-33.93897186,151.1844627,10.09999881,232
-33.93898408,151.1844182,10.09999812,233
-33.93900318,151.1843473,10.08858398,234
-33.93902873,151.1842505,10.05292774,235
-33.93906107,151.1841279,10.00779935,236
-33.93910031,151.1839795,9.999982395,237
-33.93914638,151.1838053,9.999996961,238
-33.93919679,151.1836045,9.999994605,239
-33.93925299,151.1833775,9.935342204,240
-33.9393159,151.1831247,9.899981385,241
-33.93938585,151.1828462,9.899997648,242
-33.93946117,151.1825414,9.866570807,243
-33.93954241,151.1822105,9.799930829,244
-33.93963063,151.1818539,9.799890263,245
-33.9397251,151.1814713,9.780832033,246
-33.9398252,151.1810625,9.699994438,247
-33.93992286,151.180639,9.699892443,248
-33.9400131,151.1802388,9.699951052,249
-33.94004879,151.1800802,9.699986304,250
-33.94011055,151.1798047,9.699991603,251
-33.94020323,151.1793891,9.699984945,252
-33.94030083,151.1789464,9.599935287,253
-33.94040269,151.178477,9.59964949,254
-33.94051023,151.1779814,9.599689623,255
-33.94062112,151.177459,9.607711046,256
-33.94072734,151.1769073,9.650076855,257
-33.94083863,151.1763294,9.694926606,258
-33.940955,151.175725,9.742324733,259
-33.94107643,151.1750943,9.792338611,260
-33.94120293,151.1744373,9.84503855,261
-33.94133453,151.1737539,9.90108969,262
-33.94147351,151.1730448,10.02827187,263
-33.94161764,151.1723094,10.16092604,264
-33.94176693,151.1715477,10.29913426,265
-33.94192137,151.1707596,10.44298153,266
-33.94208097,151.1699452,10.59255578,267
-33.94225595,151.1691104,11.23392551,268
-33.94245198,151.1682967,12.95190244,269
-33.94264174,151.167509,14.61595554,270
-33.94282525,151.1667473,16.22599577,271
-33.94301447,151.1660159,17.78299083,272
-33.94319901,151.165311,19.2859435,273
-33.94338999,151.164637,21.76171321,274
-33.94358727,151.1639893,25.12544948,275
-33.94377839,151.1633617,28.38510828,276
-33.94380355,151.1632869,28.77900707,277
-33.9438619,151.1631197,29.66355759,278
-33.94396008,151.1628383,31.15208034,279
-33.9440981,151.1624428,33.24472702,280
-33.94427595,151.1619331,35.94171086,281
-33.944502,151.1613377,40.34776025,282
-33.94474717,151.1607174,45.60029295,283
-33.94500361,151.1600736,51.05910061,284
-33.94528086,151.1594121,56.72090583,285
