Latitude (deg),Longitude (deg),Altitude (m),Time (s)
40.05596333,116.6000917,38.7,0
40.05596667,116.6000917,38.7,1
40.05596833,116.6000917,38.7,2
40.05598333,116.6000883,38.7,3
40.05598333,116.6000883,38.7,4
40.05598333,116.6000883,38.7,5
40.05617757,116.6000584,38.81188365,6
40.05625147,116.6000468,38.85389529,7
40.05637872,116.6000269,38.92625737,8
40.05655685,116.599999,39.02299536,9
40.05673366,116.599971,39.10683168,10
40.05688812,116.5999466,39.18012048,11
40.0569377,116.5999388,39.2030632,12
40.0569756,116.5999327,39.21813757,13
40.05704515,116.5999216,39.24580509,14
40.05714633,116.5999055,39.28607874,15
40.05727917,116.5998843,39.33897743,16
40.05744364,116.5998581,39.40452594,17
40.05763976,116.5998268,39.482755,18
40.05786752,116.5997905,39.57370121,19
40.05812446,116.59975,39.67666456,20
40.05840411,116.5997062,39.78896123,21
40.0587061,116.5996588,39.91040704,22
40.05903045,116.5996079,40.04104179,23
40.05937722,116.5995543,40.17920146,24
40.05974641,116.5994979,40.32520345,25
40.06013796,116.599438,40.48034122,26
40.06055186,116.5993747,40.64466636,27
40.06098813,116.599308,40.81823342,28
40.06144657,116.5992358,40.97888035,29
40.0619272,116.5991584,41.12893583,30
40.06243017,116.5990773,41.28645404,31
40.06295549,116.5989926,41.45150134,32
40.06350314,116.5989042,41.62404154,33
40.06407307,116.5988115,41.80357189,34
40.06466534,116.5987152,41.99081722,35
40.06527995,116.5986152,42.18585563,36
40.0659169,116.5985116,42.38876821,37
40.06657622,116.5984046,42.58947891,38
40.0672579,116.5982943,42.78614012,39
40.06796193,116.5981804,42.99020698,40
40.06868831,116.5980629,43.20177235,41
40.06943703,116.5979417,43.42093203,42
40.07020808,116.597817,43.64778479,43
40.07100151,116.5976891,44.34607267,44
40.07181729,116.5975578,45.20211604,45
40.07265541,116.5974229,46.08296978,46
40.07351425,116.5972863,48.73353884,47
40.07438263,116.5971508,52.50806681,48
40.07525803,116.597014,56.4665792,49
40.07612956,116.596871,65.27846097,50
40.07699393,116.5967292,74.01942302,51
40.07785113,116.5965886,82.6894288,52
40.07870118,116.5964491,91.28844205,53
40.07954405,116.5963108,99.81642683,54
40.08037642,116.5961706,109.8990346,55
40.08118636,116.596029,121.9719245,56
40.08197237,116.5958874,134.8184556,57
40.0825893,116.5957749,145.3161089,58
40.08335215,116.5956297,160.3634627,59
40.08412718,116.5954804,176.1776572,60
40.0849111,116.5953295,192.1744016,61
40.0857021,116.595175,208.8210929,62
40.08649684,116.5950138,227.6415719,63
40.08731116,116.5948466,247.8232918,64
40.08814421,116.5946712,269.7604639,65
40.08899717,116.5944887,292.909104,66
40.08984621,116.5943031,316.9358976,67
40.09069228,116.5941129,342.0033342,68
40.09155783,116.5939141,368.3063109,69
40.09243765,116.5937071,395.8878183,70
40.09332408,116.5934952,424.0080888,71
40.09419245,116.593284,451.9167567,72
40.09503903,116.5930705,479.0306174,73
40.0958753,116.5928513,504.3928451,74
40.09670301,116.5926344,529.497447,75
40.09752218,116.5924196,554.3443803,76
40.0983328,116.5922071,578.9336027,77
40.09913488,116.5919969,603.2650722,78
40.09992841,116.5917888,627.3387475,79
40.10071339,116.591583,651.1545875,80
40.10149127,116.5913733,672.382193,81
40.10225899,116.591162,691.2097178,82
40.10304266,116.590944,709.1352098,83
40.10385025,116.5907173,725.9714381,84
40.10467057,116.5904862,742.131118,85
40.10547312,116.5902552,756.109348,86
40.10627965,116.5900224,767.8515369,87
40.10710757,116.5897834,779.9064866,88
40.10795169,116.5895358,787.6534011,89
40.10879839,116.5892871,795.1941639,90
40.10964748,116.5890378,802.7576502,91
40.11049895,116.5887878,810.3438723,92
40.1113528,116.588537,817.9528428,93
40.11220907,116.5882855,825.5096436,94
40.11307912,116.5880268,830.1099114,95
40.11396803,116.5877606,834.6478744,96
40.11485041,116.5874936,838.9170312,97
40.11572062,116.5872302,843.1289113,98
40.11657868,116.5869705,847.2834496,99
40.11742457,116.5867144,851.3805824,100
40.11825831,116.5864621,855.4202464,101
40.11909305,116.5862066,860.2161134,102
