Latitude (deg),Longitude (deg),Altitude (m),Time (s)
48.99871,2.609396667,97,0
48.99871,2.609396667,97,1
48.99871,2.609395,97,2
48.99871,2.609395,97,3
48.99871,2.609393333,97,4
48.99871,2.609392918,97,5
48.99870942,2.609381423,97.00690524,6
48.99870696,2.609337509,97.03650844,7
48.99870255,2.609259008,97.08943215,8
48.99869696,2.60914602,97.14870114,9
48.99868984,2.608998938,97.22232408,10
48.99868107,2.608817784,97.31302702,11
48.99867065,2.608602559,97.42082554,12
48.99865858,2.608353262,97.54573817,13
48.99865168,2.608120517,97.70044037,14
48.99865253,2.608054482,97.72574486,15
48.99865467,2.607886928,97.78996752,16
48.99865811,2.607617854,97.89315111,17
48.99865562,2.607306025,98.06271143,18
48.99865302,2.607024226,98.21875197,19
48.9986507,2.60677266,98.35810798,20
48.99864865,2.606551326,98.48076033,21
48.99864421,2.606349814,98.59280231,22
48.99863925,2.606148738,98.70470327,23
48.99863335,2.605947749,98.81663822,24
48.99862221,2.605747247,98.92860734,25
48.99861107,2.605546744,99.04061038,26
48.99859703,2.605346715,99.13376092,27
48.99857972,2.605147222,99.20563621,28
48.99856242,2.604947728,99.27754543,29
48.99853905,2.60473894,99.3532809,30
48.9985105,2.604497592,99.44100367,31
48.9984768,2.604231974,99.53768282,32
48.99844394,2.603987283,99.62686071,33
48.99841469,2.603769455,99.70629266,34
48.99838905,2.603578489,99.77596334,35
48.99836701,2.603414385,99.83585933,36
48.99834816,2.603276785,99.88615007,37
48.99832893,2.603148544,99.93325543,38
48.9983097,2.603020303,99.98037528,39
48.99828722,2.602887306,100.0240823,40
48.99825769,2.602724842,100.0732536,41
48.99822058,2.602530148,100.1323981,42
48.99817566,2.602303319,100.2014766,43
48.9981238,2.602043991,100.2778793,44
48.9980654,2.601751976,100.363986,45
48.99800046,2.601427275,100.4598231,46
48.99792899,2.601069886,100.5654196,47
48.99785097,2.600679812,100.6808077,48
48.99776642,2.600257051,100.8060223,49
48.99767533,2.599801605,100.9411014,50
48.9975777,2.599313474,101.0860859,51
48.9974907,2.598785493,101.225746,52
48.99740005,2.598223625,101.3728406,53
48.99731541,2.597648251,101.4884682,54
48.99723714,2.597104589,101.5906654,55
48.99720001,2.59682792,101.6856869,56
48.99713077,2.596271418,101.862097,57
48.9970575,2.595679876,102.0472848,58
48.99698506,2.595053397,102.2007863,59
48.99691067,2.594392744,102.3464018,60
48.99683539,2.593697687,102.525736,61
48.9967617,2.592967648,102.734199,62
48.99668658,2.592203395,102.9129249,63
48.99661098,2.591404714,103.1456197,64
48.99653545,2.590571539,103.3905391,65
48.99646205,2.589703448,103.6444064,66
48.996386,2.588801435,103.9054027,67
48.99631376,2.587864289,104.0732626,68
48.99623889,2.586893216,104.2479872,69
48.99616677,2.585891046,104.4342929,70
48.9960953,2.584868627,104.62736,71
48.99602257,2.583826799,104.8810412,72
48.99594856,2.58275654,105.5409964,73
48.99587374,2.581652205,106.5550533,74
48.99579586,2.580520113,108.6260873,75
48.99571657,2.579363438,110.8574639,76
48.99563927,2.578177033,114.7627691,77
48.99555982,2.576956682,118.8109833,78
48.99548288,2.575704367,124.7519224,79
48.99541196,2.574444492,132.2383078,80
48.99534158,2.573152497,140.2505985,81
48.99529184,2.571837405,151.9763129,82
48.99524379,2.570508109,164.1951833,83
48.99519519,2.56916441,176.548026,84
48.99514607,2.567806308,189.03489,85
48.9950964,2.566433804,201.6558245,86
48.99506963,2.565052584,217.4046621,87
48.99505245,2.563662698,234.5351737,88
48.99504559,2.562275302,253.044019,89
48.99505975,2.560922046,274.1458557,90
48.99508295,2.559581558,296.4221355,91
48.99510602,2.558248138,318.5825752,92
48.99512896,2.556921786,340.6271513,93
48.99515175,2.555602503,362.5558402,94
48.99518687,2.554302057,386.3285101,95
48.99523072,2.553038048,411.0929268,96
48.99527796,2.551797299,436.2694405,97
48.99532876,2.550530246,462.5091156,98
48.99538376,2.549267429,489.5835599,99
48.99543253,2.548035018,516.0081523,100
48.9954759,2.546822193,542.0147617,101
48.9955186,2.545627633,567.6310918,102
48.99556064,2.544451338,592.8570876,103
48.99560201,2.543293306,617.6926951,104
48.99564272,2.542153538,642.1378607,105
48.99568277,2.541032033,666.1925321,106
48.99572215,2.539928792,689.8566577,107
48.99575707,2.538840967,712.7217062,108
48.99576588,2.537728949,732.5076126,109
48.9957643,2.536614557,750.7430011,110
48.99576273,2.535508098,768.8497144,111
48.99576116,2.534409571,786.8277304,112
48.99575959,2.533318977,804.6770272,113
48.99575197,2.53223341,821.5427698,114
48.99571925,2.531119093,835.1400262,115
48.9956795,2.529970406,848.300224,116
48.99561124,2.528794919,857.8365086,117
48.995542,2.527602914,867.5080352,118
48.9954718,2.526394393,877.3148535,119
48.99540062,2.525169356,887.2570142,120
48.99529934,2.523931909,894.3773296,121
48.99517152,2.522692034,898.8916548,122
48.99504339,2.521449274,903.4178359,123
48.99491494,2.52020363,907.9558822,124
48.99478619,2.518955102,912.505803,125
48.99464991,2.5177049,916.714964,126
48.99448008,2.51643879,919.4695827,127
48.99430575,2.515139234,922.2984436,128
48.99409531,2.513823989,926.2807763,129
48.99387933,2.512490515,930.4057122,130
48.99366025,2.511137976,934.5912808,131
48.99343805,2.509766373,938.837551,132
48.99321275,2.508375705,943.1445925,133
48.99298424,2.506966034,947.5275067,134
48.99271523,2.505571543,957.2013062,135
48.99244755,2.504184017,966.8286755,136
48.9921812,2.502803456,976.4095882,137
48.99191617,2.50142986,985.9440182,138
48.99165246,2.500063228,995.4319394,139
48.99137154,2.498725531,1010.789882,140
48.99109072,2.497403848,1026.828432,141
48.99081271,2.496095477,1042.707293,142
48.99053751,2.494800417,1058.426417,143
48.99026513,2.493518668,1073.985758,144
48.98998998,2.492251442,1091.238491,145
48.9897061,2.490981142,1112.993043,146
48.9894237,2.489722799,1136.029276,147
48.98914359,2.488474772,1158.878545,148
48.98886579,2.487237061,1181.540816,149
48.98859028,2.486009664,1204.016052,150
48.98831708,2.484792581,1226.304218,151
48.98804617,2.483585811,1248.405278,152
48.98778346,2.482390411,1272.021993,153
48.98752314,2.481201067,1295.846259,154
48.98726401,2.480017194,1319.562658,155
48.98700605,2.478838792,1343.171171,156
48.98674928,2.47766586,1366.671782,157
48.98649369,2.4764984,1390.064472,158
48.98623929,2.475336409,1413.349223,159
48.98598607,2.474179888,1436.526017,160
48.98573841,2.473003523,1456.850386,161
48.98549492,2.471799902,1474.5547,162
48.98525738,2.470614777,1491.31038,163
48.98502371,2.469426991,1505.702908,164
48.98479409,2.468194646,1515.622269,165
48.98456206,2.466925174,1524.130567,166
48.98432404,2.465622943,1532.860046,167
48.98408,2.464287953,1541.81082,168
48.98385182,2.462907046,1541.293191,169
48.98361971,2.461494163,1540.207315,170
48.98338246,2.460050098,1539.099302,171
48.98314075,2.458574734,1537.763713,172
48.98291868,2.457062862,1528.892842,173
48.98269171,2.455517775,1519.829104,174
48.98245983,2.453939473,1510.572632,175
48.98222431,2.452327923,1500.858441,176
48.98200151,2.450689104,1487.489647,177
48.98178219,2.449038777,1473.098172,178
48.98157045,2.447404836,1457.627189,179
48.98136351,2.445742291,1440.603272,180
48.98115669,2.444046296,1422.699226,181
48.98094579,2.442317064,1404.446825,182
48.98074163,2.440551762,1385.800913,183
48.98054002,2.438751488,1366.779207,184
48.98033464,2.436917892,1347.40825,185
48.98012549,2.435050973,1327.688202,186
48.97992174,2.433145312,1309.319219,187
