Latitude (deg),Longitude (deg),Altitude (m),Time (s)
28.56983333,77.11641,237.2,0
28.56983333,77.11640718,237.2,1
28.56983333,77.11640667,237.2,2
28.56983333,77.11640667,237.2,3
28.56983336,77.116369,237.1993025,4
28.56983414,77.11633541,237.1758638,5
28.56983603,77.11625416,237.1191764,6
28.56983888,77.1161315,237.0468657,7
28.56984234,77.11598263,236.9637703,8
28.56984645,77.11580821,236.8739564,9
28.56985125,77.11560825,236.7873812,10
28.56985667,77.11538276,236.6898193,11
28.56986254,77.11513171,236.5790433,12
28.56986812,77.1148551,236.4451896,13
28.56987391,77.11455294,236.2929276,14
28.56988004,77.11422524,236.1249485,15
28.56988665,77.11387198,235.9440558,16
28.56989374,77.11349318,235.7502901,17
28.56990131,77.11308884,235.5436951,18
28.56990935,77.11265895,235.3243172,19
28.56991787,77.11220351,235.0922058,20
28.56992686,77.11172253,234.8474134,21
28.56993634,77.11121601,234.5899952,22
28.56994587,77.11068393,234.3357837,23
28.56995483,77.11012628,234.1090585,24
28.56996419,77.10954308,233.8724458,25
28.56997397,77.10893434,233.6260127,26
28.56998708,77.10830012,233.3295921,27
28.57000031,77.10764034,233.011786,28
28.57001405,77.10695503,232.6823671,29
28.57003015,77.10624422,232.3303533,30
28.57004931,77.10550794,231.9690131,31
28.57007017,77.10475365,231.6779367,32
28.57008634,77.10400715,231.3399138,33
28.57009476,77.10323737,230.9291215,34
28.57009764,77.10244196,230.5825003,35
28.57010057,77.101621,230.2321111,36
28.5701009,77.10078371,229.9368305,37
28.57009967,77.09996599,229.6783766,38
28.57009847,77.09917145,229.4282107,39
28.57009833,77.09838101,229.1361045,40
28.57009621,77.09756535,228.872816,41
28.57009455,77.09672413,228.5597177,42
28.57009167,77.09585736,228.300206,43
28.5700885,77.09496504,228.0100694,44
28.57008835,77.09405708,228.1918753,45
28.57008836,77.09314552,228.3957791,46
28.57008836,77.09223038,228.6017365,47
28.57008836,77.09131166,228.8097622,48
28.57008835,77.09038937,229.0198709,49
28.57008834,77.0894635,229.2320775,50
28.5700906,77.08852904,230.3182042,51
28.5700946,77.08757028,232.3600922,52
28.57009818,77.08658629,235.5618335,53
28.57010153,77.08557723,240.0189378,54
28.57010476,77.08454281,244.9348984,55
28.57010994,77.08349852,251.0727105,56
28.57011465,77.08245284,258.2721291,57
28.5701208,77.08138245,266.6169125,58
28.57012796,77.08028744,276.141097,59
28.5701345,77.07916889,286.6094773,60
28.57014189,77.07805151,297.7530789,61
28.5701503,77.07691521,309.7248838,62
28.57015921,77.07575557,323.1085314,63
28.57016777,77.0745716,337.6393256,64
28.570178,77.07336384,353.3576602,65
28.57018815,77.07216316,369.9232855,66
28.57019789,77.07098862,386.7111921,67
28.57020744,77.06984157,404.5599448,68
28.57021677,77.06871984,422.063533,69
28.57022509,77.06760858,440.9783954,70
28.5702334,77.06647344,460.6294731,71
28.57024188,77.06531314,480.7180831,72
28.57025053,77.06412769,501.2443568,73
28.57025843,77.06291868,523.0679272,74
28.57026429,77.06168607,546.1482216,75
28.57026803,77.06043022,569.7520739,76
28.5702685,77.05918574,593.1393063,77
28.57026353,77.05796592,615.8361172,78
28.57025865,77.05677122,638.0680669,79
28.57025387,77.05560162,659.8350205,80
28.57024917,77.05445713,681.1368459,81
28.57024056,77.05333701,701.5639029,82
28.57022658,77.0522401,720.4748193,83
28.57020709,77.05115063,738.7132078,84
28.57018306,77.05003544,756.3633365,85
28.57015626,77.0488975,774.1375375,86
28.5701261,77.04777059,790.6399117,87
28.57009318,77.04665755,806.2669437,88
28.57005134,77.04553324,820.7044057,89
28.57000589,77.04438286,834.7957194,90
28.56995225,77.04321373,848.050085,91
28.56989347,77.04206394,860.0889392,92
28.56982967,77.04093867,870.989935,93
28.56975908,77.0398324,880.5879365,94
28.5696896,77.03874379,890.034536,95
28.56961251,77.03766177,898.4821892,96
28.56952391,77.0365563,906.1549587,97
28.56942808,77.03542578,913.6782162,98
28.56932557,77.0342764,920.9244736,99
28.56921599,77.03314605,927.6757718,100
28.56909977,77.03204194,933.812024,101
28.5689813,77.03095337,939.8354029,102
28.56884968,77.02984424,945.7391901,103
28.56870529,77.02871142,951.8498218,104
28.56855109,77.02755451,958.1897365,105
28.56838836,77.02639635,964.7927081,106
28.56821781,77.02525961,971.5089637,107
28.56804798,77.02414082,978.1842865,108
28.56786327,77.0230159,985.4771527,109
28.56765954,77.02186975,993.7265091,110
28.5674467,77.02069987,1002.349552,111
28.56722461,77.01951991,1011.468974,112
28.5669898,77.01836815,1021.538928,113
28.56675186,77.01724342,1031.868433,114
28.56651195,77.0161416,1042.436861,115
28.56625843,77.01502791,1053.845635,116
28.56598385,77.01389518,1066.27643,117
28.56569145,77.0127429,1079.986583,118
28.56538302,77.01157011,1094.432613,119
28.56506534,77.01039755,1109.468677,120
28.56473726,77.00925663,1125.242883,121
28.56440409,77.00814503,1141.209747,122
28.56406557,77.00704831,1157.282263,123
28.56370248,77.00593805,1174.572145,124
28.56331795,77.00481057,1192.61793,125
28.56291596,77.00367552,1211.267569,126
28.56250827,77.00256744,1229.851245,127
28.56209708,77.00148878,1248.287511,128
28.56167927,77.00043632,1266.618812,129
28.56123858,76.99937744,1285.418474,130
28.56078259,76.99829895,1304.668081,131
28.56030858,76.99721034,1324.144925,132
28.55982757,76.99614756,1343.102033,133
28.55934186,76.9951157,1361.505097,134
28.55884937,76.9940993,1379.347102,135
28.55832811,76.9930728,1396.992131,136
28.55779184,76.99203102,1414.825308,137
28.55725081,76.99100952,1431.857434,138
28.55669292,76.99000124,1447.994071,139
