Latitude (deg),Longitude (deg),Altitude (m),Time (s)
37.61355333,-122.3571933,1.200000003,0
37.61355333,-122.3571933,1.200000003,0.1
37.61355333,-122.3571933,1.200000003,0.2
37.61355333,-122.3571933,1.200000003,0.3
37.61355333,-122.3571933,1.200000003,0.4
37.61355333,-122.3571933,1.200000003,0.5
37.61355333,-122.3571933,1.200000003,0.6
37.61355333,-122.3571933,1.200000003,0.7
37.61355333,-122.3571933,1.200000003,0.8
37.61355333,-122.3571933,1.200000003,0.9
37.61355333,-122.3571933,1.200000003,1
37.61355333,-122.3571933,1.200000003,1.1
37.61355333,-122.357195,1.200000001,1.2
37.61355333,-122.357195,1.200000001,1.3
37.61355333,-122.357195,1.200000001,1.4
37.61355333,-122.357195,1.200000001,1.5
37.61355333,-122.357195,1.200000001,1.6
37.61355333,-122.3571952,1.200000001,1.7
37.61355333,-122.3571959,1.200000001,1.8
37.61355333,-122.3571967,1.200000003,1.9
37.61355333,-122.3571967,1.200000003,2
37.61355333,-122.3571967,1.200000003,2.1
37.613555,-122.3571983,1.2,2.2
37.61355506,-122.3571985,1.199999957,2.3
37.61355524,-122.3571989,1.199999824,2.4
37.61355554,-122.3571997,1.199999602,2.5
37.61355596,-122.3572007,1.199999292,2.6
37.61355651,-122.357202,1.199998896,2.7
37.61355717,-122.3572036,1.199998415,2.8
37.61355796,-122.3572056,1.199997852,2.9
37.61355886,-122.3572078,1.199997208,3
37.61355989,-122.3572103,1.199996489,3.1
37.61356104,-122.3572131,1.199995697,3.2
37.61356231,-122.3572162,1.199994832,3.3
37.61356371,-122.3572196,1.199993907,3.4
37.61356522,-122.3572233,1.199992919,3.5
37.61356685,-122.3572273,1.199991875,3.6
37.61356861,-122.3572316,1.199990782,3.7
37.61357049,-122.3572362,1.199989645,3.8
37.61357248,-122.3572411,1.19998847,3.9
37.6135746,-122.3572463,1.199987265,4
37.61357684,-122.3572518,1.199986037,4.1
37.61357921,-122.3572576,1.199984792,4.2
37.61358169,-122.3572637,1.199983539,4.3
37.61358429,-122.35727,1.199982285,4.4
37.61358702,-122.3572767,1.199981041,4.5
37.61358986,-122.3572837,1.199979815,4.6
37.61359283,-122.3572909,1.199978616,4.7
37.61359592,-122.3572985,1.199977454,4.8
37.61359913,-122.3573064,1.199976341,4.9
