Latitude (deg),Longitude (deg),Altitude (m),Time (s)
39.886016,116.310389,-9.31322574615479E-10,0
39.8860087600651,116.310367589796,-1.08089298009872E-05,0.1
39.8859979001352,116.310335474439,-2.58469954133034E-05,0.2
39.8859870402001,116.310303359103,-3.94741073250771E-05,0.3
39.8859761802561,116.310271243778,-5.16930595040321E-05,0.4
39.8859653203032,116.310239128462,-6.2502920627594E-05,0.5
39.8859544603414,116.310207013156,-7.19018280506134E-05,0.6
39.8859436003706,116.310174897861,-7.98897817730904E-05,0.7
39.885932740391,116.310142782576,-8.64695757627487E-05,0.8
39.8859218804024,116.310110667301,-9.16356220841408E-05,0.9
39.8859110204049,116.310078552036,-9.53953713178635E-05,1
39.8859001603985,116.310046436781,-9.77432355284691E-05,1.1
39.8858893003831,116.310014321537,-9.86829400062561E-05,1.2
39.885878440359,116.309982206302,-9.82098281383514E-05,1.3
39.8858675803258,116.309950091077,-9.63266938924789E-05,1.4
39.8858567202838,116.309917975863,-9.30363312363625E-05,1.5
39.8858458602328,116.309885860659,-8.83340835571289E-05,1.6
39.8858350001729,116.309853745465,-8.22218134999275E-05,1.7
39.8858241401041,116.309821630281,-7.47013837099075E-05,1.8
39.8858132800264,116.309789515107,-6.57709315419197E-05,1.9
39.8858024199398,116.309757399944,-5.54313883185387E-05,2
39.8857915598443,116.309725284791,-4.36799600720406E-05,2.1
39.8857806997398,116.309693169647,-3.05185094475746E-05,2.2
39.8857698396265,116.309661054513,-1.59498304128647E-05,2.3
39.8857589757293,116.309628941545,-6.51925802230835E-09,2.4
39.8857461566322,116.309598067311,-3.20561230182648E-06,2.5
39.885733337527,116.309567193088,-4.99188899993896E-06,2.6
39.8857205184135,116.309536318876,-5.37093728780746E-06,2.7
39.8857076992918,116.309505444677,-4.33623790740967E-06,2.8
39.8856948801619,116.309474570488,-1.89431011676788E-06,2.9
39.8856829318266,116.309443133293,-2.53599137067795E-06,3
39.8856719979308,116.309411060417,-6.98026269674301E-06,3.1
39.885661064026,116.309378987552,-1.00145116448402E-05,3.2
39.8856501301124,116.309346914697,-1.16387382149696E-05,3.3
39.8856391961899,116.309314841852,-1.1855736374855E-05,3.4
39.8856282622584,116.309282769018,-1.06599181890488E-05,3.5
39.8856173283182,116.309250696193,-8.05407762527466E-06,3.6
39.885606394369,116.309218623379,-4.03914600610733E-06,3.7
39.8855950616403,116.30918679496,-9.08970832824707E-07,3.8
39.8855824202722,116.309155797565,-3.94601374864578E-06,3.9
39.8855697788958,116.30912480018,-5.57489693164825E-06,4
39.885557137511,116.309093802807,-5.79375773668289E-06,4.1
39.885544496118,116.309062805446,-4.60166484117508E-06,4.2
39.8855318547166,116.309031808095,-2.00048089027405E-06,4.3
39.8855180847886,116.309001670654,-1.3299286365509E-06,4.4
39.8855029923914,116.308972579476,-3.20374965667725E-06,4.5
39.8854878999867,116.30894348831,-3.66475433111191E-06,4.6
39.8854728075748,116.308914397158,-2.71666795015335E-06,4.7
39.8854577162222,116.308885305137,-3.7066638469696E-07,4.8
39.8854442316224,116.308854915808,-1.61677598953247E-05,4.9
39.8854309578824,116.308824367147,-3.30721959471703E-05,5
39.8854176841343,116.308793818497,-4.85684722661972E-05,5.1
39.8854044103782,116.30876326986,-6.26528635621071E-05,5.2
39.885391136614,116.308732721233,-7.53281638026237E-05,5.3
39.8853778628417,116.30870217262,-8.6592510342598E-05,5.4
39.8853645890613,116.308671624017,-9.64431092143059E-05,5.5
39.8853513152729,116.308641075426,-0.00010488647967577,5.6
39.8853380414763,116.308610526847,-0.000111919827759266,5.7
39.8853247676717,116.30857997828,-0.00011754222214222,5.8
39.885311493859,116.308549429725,-0.000121753662824631,5.9
39.8852982200384,116.308518881181,-0.000124555081129074,6
39.8852849462095,116.30848833265,-0.0001259446144104,6.1
39.8852716723726,116.308457784129,-0.000125925056636333,6.2
39.8852583985276,116.308427235621,-0.000124494545161724,6.3
39.8852451246745,116.308396687125,-0.000121654011309147,6.4
39.8852318508133,116.30836613864,-0.000117401592433453,6.5
39.8852185769442,116.308335590167,-0.000111737288534641,6.6
39.8852053030669,116.308305041707,-0.000104664824903011,6.7
39.8851920291815,116.308274493257,-9.61823388934135E-05,6.8
39.8851787552881,116.308243944819,-8.62870365381241E-05,6.9
39.8851654813866,116.308213396394,-7.49854370951653E-05,7
39.885152207477,116.308182847979,-6.22682273387909E-05,7.1
39.8851389335594,116.308152299578,-4.81437891721725E-05,7.2
39.8851256596336,116.308121751187,-3.26065346598625E-05,7.3
39.8851123856997,116.308091202809,-1.56601890921593E-05,7.4
39.8850991099,116.308060655799,-9.21078026294708E-07,7.5
39.8850858228991,116.308030117006,-6.59748911857605E-06,7.6
39.8850725358903,116.307999578223,-1.08620151877403E-05,7.7
39.8850592488731,116.307969039454,-1.37165188789368E-05,7.8
39.885045961848,116.307938500695,-1.516193151474E-05,7.9
39.8850326748149,116.30790796195,-1.51945278048515E-05,8
39.8850193877737,116.307877423215,-1.38161703944206E-05,8.1
39.8850061007244,116.307846884492,-1.10315158963203E-05,8.2
39.884992813667,116.307816345781,-6.83404505252838E-06,8.3
39.8849795266102,116.307785807075,-1.2516975402832E-06,8.4
39.8849662536109,116.307755258075,-3.74121591448784E-05,8.5
39.8849529839202,116.307724706662,-8.2334503531456E-05,8.6
39.8849397142215,116.307694155259,-0.000125845894217491,8.7
39.8849264445148,116.307663603869,-0.000167944468557835,8.8
39.8849131748,116.307633052489,-0.000208633951842785,8.9
39.8848999050771,116.307602501123,-0.000247913412749767,9
39.8848866353461,116.307571949767,-0.000285782851278782,9.1
39.884873365607,116.307541398423,-0.000322240404784679,9.2
39.8848600958599,116.307510847092,-0.000357287935912609,9.3
39.8848468261047,116.307480295771,-0.000390926375985146,9.4
39.8848335563414,116.307449744464,-0.000423152931034565,9.5
39.88482028657,116.307419193167,-0.000453967601060867,9.6
39.8848070167905,116.307388641883,-0.000483373180031776,9.7
39.884793747003,116.30735809061,-0.000511369667947292,9.8
39.8847804772075,116.307327539349,-0.000537953339517117,9.9
39.8847672074037,116.307296988099,-0.000563126988708973,10
39.884753937592,116.307266436862,-0.000586893409490585,10.1
39.8847406677721,116.307235885636,-0.000609247013926506,10.2
39.8847273979442,116.307205334423,-0.000630189664661884,10.3
39.8847141281082,116.30717478322,-0.000649724155664444,10.4
39.8847008582641,116.307144232029,-0.000667843967676163,10.5
39.884687588412,116.307113680851,-0.000684553757309914,10.6
39.8846743185517,116.307083129684,-0.000699856318533421,10.7
39.8846610486834,116.307052578529,-0.000713745132088661,10.8
39.8846477788071,116.307022027386,-0.000726227648556232,10.9
39.8846345089226,116.306991476255,-0.000737296417355537,11
39.88462123903,116.306960925134,-0.000746955163776875,11.1
39.8846079691294,116.306930374027,-0.000755203887820244,11.2
39.8845946992207,116.30689982293,-0.00076204352080822,11.3
39.8845814293039,116.306869271847,-0.00076746940612793,11.4
39.8845681593791,116.306838720773,-0.000771488063037395,11.5
39.8845548894461,116.306808169713,-0.000774092972278595,11.6
39.8845416195051,116.306777618664,-0.00077529065310955,11.7
39.884528349556,116.306747067626,-0.000775075517594814,11.8
39.8845150795989,116.306716516601,-0.00077345222234726,11.9
39.8845018096336,116.306685965587,-0.000770416110754013,12
39.8844885396603,116.306655414585,-0.000765970908105373,12.1
39.8844752696788,116.306624863595,-0.000760113820433617,12.2
39.8844619996894,116.306594312617,-0.000752850435674191,12.3
39.8844487296919,116.30656376165,-0.000744172371923923,12.4
39.8844354596862,116.306533210696,-0.000734084285795689,12.5
39.8844221896725,116.306502659752,-0.000722586177289486,12.6
39.8844089196507,116.306472108822,-0.000709676183760166,12.7
39.8843956496208,116.306441557902,-0.000695358030498028,12.8
39.8843823795829,116.306411006994,-0.000679627060890198,12.9
39.8843691095368,116.306380456098,-0.000662487000226974,13
39.8843558394827,116.306349905215,-0.000643935054540634,13.1
39.8843425694205,116.306319354342,-0.000623974017798901,13.2
39.8843292993503,116.306288803481,-0.000602600164711475,13.3
39.8843160292719,116.306258252632,-0.000579817220568657,13.4
39.8843027591855,116.306227701795,-0.000555622391402721,13.5
39.884289489091,116.30619715097,-0.000530018471181393,13.6
39.8842762189884,116.306166600156,-0.000503004528582096,13.7
