Latitude (deg),Longitude (deg),Altitude (m),Time (s)
20.6946,77.03508333,0,0
20.6946,77.03508333,0,0.1
20.69459972,77.03508314,-1.49E-08,0.2
20.69459888,77.03508254,-6.05E-08,0.3
20.69459749,77.03508155,-1.30E-07,0.4
20.69459553,77.03508017,-2.21E-07,0.5
20.69459302,77.03507839,-3.20E-07,0.6
20.69458995,77.03507621,-4.18E-07,0.7
20.69458632,77.03507364,-5.00E-07,0.8
20.69458213,77.03507067,-5.49E-07,0.9
20.69457738,77.03506731,-5.47E-07,1
20.69457208,77.03506355,-4.68E-07,1.1
20.69456621,77.0350594,-2.92E-07,1.2
20.69455979,77.03505485,-1.86E-08,1.3
20.69455305,77.03505001,-5.65E-07,1.4
20.69454617,77.03504507,-9.94E-07,1.5
20.69453913,77.03504002,-1.29E-06,1.6
20.69453195,77.03503486,-1.46E-06,1.7
20.69452461,77.0350296,-1.47E-06,1.8
20.69451713,77.03502422,-1.33E-06,1.9
20.69450939,77.03501891,-1.02E-06,2
20.6945013,77.03501386,-5.38E-07,2.1
20.69449276,77.03500925,-1.85E-06,2.2
20.6944838,77.03500516,-1.27E-05,2.3
20.69447441,77.03500171,-2.36E-05,2.4
20.69446475,77.03499854,-3.44E-05,2.5
20.6944549,77.03499535,-4.51E-05,2.6
20.69444488,77.0349921,-5.59E-05,2.7
20.69443468,77.0349888,-6.66E-05,2.8
20.69442431,77.03498545,-7.73E-05,2.9
20.69441377,77.03498203,-8.79E-05,3
20.69440306,77.03497856,-9.85E-05,3.1
20.69439217,77.03497504,-0.000108929,3.2
20.69438111,77.03497146,-0.000119315,3.3
20.69436988,77.03496782,-0.0001296,3.4
20.69435848,77.03496413,-0.000139769,3.5
20.6943469,77.03496038,-0.000149813,3.6
20.69433515,77.03495657,-0.000159718,3.7
20.69432322,77.03495271,-0.00016947,3.8
20.69431113,77.0349488,-0.000179058,3.9
20.69429886,77.03494482,-0.000188464,4
20.69428642,77.0349408,-0.000197679,4.1
20.6942738,77.03493671,-0.000206691,4.2
20.69426102,77.03493257,-0.000215483,4.3
20.69424806,77.03492837,-0.000224041,4.4
20.69423492,77.03492412,-0.000232352,4.5
20.69422162,77.03491981,-0.000240401,4.6
20.69420814,77.03491545,-0.000248172,4.7
20.69419449,77.03491103,-0.000255652,4.8
20.69418066,77.03490655,-0.000262827,4.9
20.69416667,77.03490202,-0.00026968,5
