Latitude (deg),Longitude (deg),Altitude (m),Time (s)
34.1939,131.4927833,-9.31E-10,0
34.1939,131.4927833,-9.31E-10,0.1
34.1939,131.4927833,-9.31E-10,0.2
34.1939,131.4927833,-9.31E-10,0.3
34.1939,131.4927833,-9.31E-10,0.4
34.1939,131.4927833,-9.31E-10,0.5
34.1939,131.4927833,-9.31E-10,0.6
34.19390167,131.4927867,0,0.7
34.19390174,131.4927868,-2.98E-08,0.8
34.19390194,131.4927871,-1.18E-07,0.9
34.19390229,131.4927877,-2.63E-07,1
34.19390278,131.4927885,-4.66E-07,1.1
34.1939034,131.4927895,-7.21E-07,1.2
34.19390417,131.4927907,-1.03E-06,1.3
34.19390507,131.4927922,-1.40E-06,1.4
34.19390611,131.4927939,-1.81E-06,1.5
34.1939073,131.4927958,-2.28E-06,1.6
34.19390862,131.492798,-2.79E-06,1.7
34.19391008,131.4928004,-3.34E-06,1.8
34.19391167,131.492803,-3.93E-06,1.9
34.19391341,131.4928058,-4.55E-06,2
34.19391529,131.4928089,-5.21E-06,2.1
34.1939173,131.4928122,-5.90E-06,2.2
34.19391946,131.4928157,-6.60E-06,2.3
34.19392175,131.4928194,-7.33E-06,2.4
34.19392419,131.4928234,-8.06E-06,2.5
34.19392676,131.4928276,-8.81E-06,2.6
34.19392947,131.492832,-9.55E-06,2.7
34.19393232,131.4928366,-1.03E-05,2.8
34.19393531,131.4928415,-1.10E-05,2.9
34.19393843,131.4928466,-1.17E-05,3
34.1939417,131.4928519,-1.24E-05,3.1
34.19394511,131.4928575,-1.31E-05,3.2
34.19394865,131.4928633,-1.37E-05,3.3
34.19395233,131.4928693,-1.42E-05,3.4
34.19395616,131.4928755,-1.47E-05,3.5
34.19396012,131.492882,-1.52E-05,3.6
34.19396422,131.4928887,-1.55E-05,3.7
34.19396846,131.4928956,-1.58E-05,3.8
34.19397284,131.4929027,-1.60E-05,3.9
34.19397735,131.4929101,-1.61E-05,4
34.19398201,131.4929177,-1.60E-05,4.1
34.19398681,131.4929255,-1.59E-05,4.2
34.19399174,131.4929335,-1.56E-05,4.3
34.19399682,131.4929418,-1.52E-05,4.4
34.19400203,131.4929503,-1.46E-05,4.5
34.19400738,131.492959,-1.38E-05,4.6
34.19401287,131.492968,-1.28E-05,4.7
34.1940185,131.4929772,-1.17E-05,4.8
34.19402427,131.4929866,-1.03E-05,4.9
34.19403018,131.4929962,-8.73E-06,5
34.19403622,131.4930061,-6.91E-06,5.1
34.19404241,131.4930161,-4.85E-06,5.2
34.19404873,131.4930264,-2.52E-06,5.3
34.1940552,131.493037,-2.88E-07,5.4
34.19406178,131.4930477,-9.83E-06,5.5
34.19406848,131.4930586,-1.93E-05,5.6
34.19407528,131.4930697,-2.87E-05,5.7
34.19408218,131.493081,-3.79E-05,5.8
34.1940892,131.4930924,-4.70E-05,5.9
34.19409632,131.493104,-5.60E-05,6
34.19410355,131.4931158,-6.49E-05,6.1
34.19411088,131.4931278,-7.35E-05,6.2
34.19411832,131.4931399,-8.20E-05,6.3
34.19412587,131.4931522,-9.03E-05,6.4
34.19413353,131.4931647,-9.85E-05,6.5
34.19414129,131.4931774,-0.000106361,6.6
34.19414916,131.4931902,-0.000114034,6.7
34.19415714,131.4932032,-0.000121464,6.8
34.19416523,131.4932164,-0.00012864,6.9
34.19417342,131.4932297,-0.000135546,7
34.19418172,131.4932433,-0.000142167,7.1
34.19419012,131.493257,-0.000148489,7.2
34.19419864,131.4932709,-0.000154498,7.3
34.19420726,131.4932849,-0.000160178,7.4
34.19421598,131.4932991,-0.000165514,7.5
34.19422482,131.4933135,-0.000170492,7.6
34.19423376,131.4933281,-0.000175095,7.7
34.19424281,131.4933429,-0.000179307,7.8
34.19425196,131.4933578,-0.000183113,7.9
34.19426123,131.4933729,-0.000186496,8
34.1942706,131.4933882,-0.000189442,8.1
34.19428007,131.4934036,-0.000191932,8.2
34.19428966,131.4934193,-0.000193949,8.3
34.19429935,131.4934351,-0.000195478,8.4
34.19430915,131.493451,-0.000196503,8.5
34.19431905,131.4934672,-0.000197003,8.6
34.19432906,131.4934835,-0.000196964,8.7
34.19433918,131.4935,-0.000196366,8.8
34.19434941,131.4935167,-0.000195193,8.9
34.19435974,131.4935335,-0.000193425,9
34.19437018,131.4935505,-0.000191047,9.1
34.19438073,131.4935677,-0.000188038,9.2
34.19439138,131.4935851,-0.00018438,9.3
34.19440215,131.4936027,-0.000180054,9.4
34.19441302,131.4936204,-0.000175043,9.5
34.19442399,131.4936383,-0.000169327,9.6
34.19443507,131.4936563,-0.000162884,9.7
34.19444626,131.4936746,-0.000155699,9.8
34.19445756,131.493693,-0.000147748,9.9
34.19446896,131.4937116,-0.000139013,10
34.19448048,131.4937304,-0.000129475,10.1
34.19449209,131.4937493,-0.000119112,10.2
34.19450382,131.4937684,-0.000107905,10.3
34.19451565,131.4937877,-9.58E-05,10.4
34.19452759,131.4938072,-8.29E-05,10.5
34.19453964,131.4938268,-6.90E-05,10.6
34.19455179,131.4938467,-5.42E-05,10.7
34.19456405,131.4938666,-3.85E-05,10.8
34.19457642,131.4938868,-2.18E-05,10.9
34.19458889,131.4939071,-4.05E-06,11
34.19460085,131.4939282,-2.20E-05,11.1
34.19461269,131.4939494,-4.96E-05,11.2
34.19462458,131.4939707,-7.65E-05,11.3
34.19463653,131.4939922,-0.000102608,11.4
34.19464853,131.4940137,-0.000127929,11.5
34.19466058,131.4940354,-0.000152459,11.6
34.19467268,131.4940571,-0.000176189,11.7
34.19468484,131.4940789,-0.000199104,11.8
34.19469705,131.4941008,-0.000221196,11.9
34.19470932,131.4941228,-0.000242447,12
34.19472163,131.4941449,-0.00026285,12.1
34.194734,131.4941671,-0.000282391,12.2
34.19474643,131.4941894,-0.000301057,12.3
34.1947589,131.4942118,-0.000318836,12.4
34.19477143,131.4942343,-0.000335717,12.5
34.19478402,131.4942569,-0.000351685,12.6
34.19479665,131.4942796,-0.000366729,12.7
34.19480934,131.4943024,-0.000380837,12.8
34.19482209,131.4943252,-0.000393997,12.9
34.19483488,131.4943482,-0.000406194,13
34.19484773,131.4943713,-0.000417417,13.1
34.19486063,131.4943944,-0.00042765,13.2
34.19487359,131.4944177,-0.000436885,13.3
34.1948866,131.494441,-0.000445108,13.4
34.19489966,131.4944645,-0.000452305,13.5
34.19491277,131.494488,-0.000458462,13.6
34.19492594,131.4945116,-0.000463569,13.7
34.19493916,131.4945354,-0.000467611,13.8
34.19495244,131.4945592,-0.000470573,13.9
34.19496576,131.4945831,-0.000472444,14
