Latitude (deg),Longitude (deg),Altitude (m),Time (s)
36.1742,-115.1551667,-9.31E-10,0
36.1742,-115.1551667,-9.31E-10,0.1
36.1742,-115.1551667,-9.31E-10,0.2
36.1742,-115.1551667,-9.31E-10,0.3
36.1742,-115.1551667,-9.31E-10,0.4
36.1742,-115.1551667,-9.31E-10,0.5
36.1742,-115.1551667,-9.31E-10,0.6
36.1742,-115.1551667,-9.31E-10,0.7
36.17420167,-115.155165,9.31E-10,0.8
36.17420167,-115.155165,9.31E-10,0.9
36.17420167,-115.155165,9.31E-10,1
36.17420167,-115.155165,9.31E-10,1.1
36.17420167,-115.155165,9.31E-10,1.2
36.17420333,-115.1551617,0,1.3
36.17420368,-115.1551613,-9.31E-10,1.4
36.17420472,-115.1551603,9.31E-10,1.5
36.17420503,-115.15516,-3.07E-08,1.6
36.17420515,-115.1551598,-1.60E-07,1.7
36.17420537,-115.1551595,-3.88E-07,1.8
36.17420568,-115.1551591,-7.16E-07,1.9
36.17420608,-115.1551586,-1.14E-06,2
36.17420657,-115.1551579,-1.67E-06,2.1
36.17420716,-115.1551571,-2.29E-06,2.2
36.17420785,-115.1551562,-3.01E-06,2.3
36.17420862,-115.1551552,-3.82E-06,2.4
36.17420949,-115.155154,-4.73E-06,2.5
36.17421045,-115.1551528,-5.73E-06,2.6
36.17421151,-115.1551514,-6.83E-06,2.7
36.17421266,-115.1551498,-8.01E-06,2.8
36.1742139,-115.1551482,-9.29E-06,2.9
36.17421523,-115.1551464,-1.07E-05,3
36.17421666,-115.1551445,-1.21E-05,3.1
36.17421819,-115.1551425,-1.36E-05,3.2
36.1742198,-115.1551404,-1.53E-05,3.3
36.17422151,-115.1551381,-1.70E-05,3.4
36.17422331,-115.1551357,-1.88E-05,3.5
36.17422521,-115.1551332,-2.06E-05,3.6
36.1742272,-115.1551305,-2.26E-05,3.7
36.17422928,-115.1551278,-2.46E-05,3.8
36.17423146,-115.1551249,-2.67E-05,3.9
36.17423372,-115.1551219,-2.88E-05,4
36.17423609,-115.1551188,-3.10E-05,4.1
36.17423854,-115.1551155,-3.33E-05,4.2
36.17424109,-115.1551121,-3.56E-05,4.3
36.17424373,-115.1551086,-3.80E-05,4.4
36.17424647,-115.155105,-4.05E-05,4.5
36.1742493,-115.1551012,-4.30E-05,4.6
36.17425222,-115.1550973,-4.55E-05,4.7
36.17425524,-115.1550933,-4.81E-05,4.8
36.17425835,-115.1550892,-5.08E-05,4.9
36.17426155,-115.155085,-5.34E-05,5
36.17426485,-115.1550806,-5.61E-05,5.1
36.17426823,-115.1550761,-5.89E-05,5.2
36.17427172,-115.1550715,-6.16E-05,5.3
36.17427529,-115.1550667,-6.44E-05,5.4
36.17427896,-115.1550619,-6.72E-05,5.5
36.17428273,-115.1550569,-7.00E-05,5.6
36.17428658,-115.1550518,-7.28E-05,5.7
36.17429053,-115.1550465,-7.57E-05,5.8
36.17429457,-115.1550412,-7.85E-05,5.9
36.17429871,-115.1550357,-8.13E-05,6
36.17430294,-115.1550301,-8.41E-05,6.1
36.17430726,-115.1550243,-8.69E-05,6.2
