Latitude (deg),Longitude (deg),Altitude (m),Time (s)
8.20779,77.3995,2.79E-09,0
8.207789997,77.39950002,-1.77E-08,0.1
8.207789986,77.39950007,-7.64E-08,0.2
8.207789969,77.39950015,-1.75E-07,0.3
8.207789945,77.39950027,-3.15E-07,0.4
8.207789914,77.39950042,-4.91E-07,0.5
8.207789877,77.39950061,-7.09E-07,0.6
8.207789832,77.39950083,-9.65E-07,0.7
8.207789781,77.39950108,-1.26E-06,0.8
8.207789723,77.39950137,-1.60E-06,0.9
8.207789658,77.39950169,-1.97E-06,1
8.207789586,77.39950204,-2.38E-06,1.1
8.207789507,77.39950243,-2.84E-06,1.2
8.207789422,77.39950285,-3.33E-06,1.3
8.207789329,77.3995033,-3.86E-06,1.4
8.20778923,77.39950379,-4.43E-06,1.5
8.207789124,77.39950431,-5.04E-06,1.6
8.207789011,77.39950487,-5.68E-06,1.7
8.207788891,77.39950546,-6.37E-06,1.8
8.207788764,77.39950608,-7.09E-06,1.9
8.207788631,77.39950674,-7.86E-06,2
8.20778849,77.39950743,-8.66E-06,2.1
8.207788343,77.39950816,-9.49E-06,2.2
8.207788189,77.39950892,-1.04E-05,2.3
8.207788028,77.39950971,-1.13E-05,2.4
8.207787861,77.39951053,-1.22E-05,2.5
8.207787686,77.39951139,-1.32E-05,2.6
8.207787505,77.39951229,-1.42E-05,2.7
8.207787316,77.39951321,-1.53E-05,2.8
8.207787121,77.39951417,-1.64E-05,2.9
8.207786919,77.39951517,-1.75E-05,3
8.207786711,77.3995162,-1.87E-05,3.1
8.207786495,77.39951726,-1.99E-05,3.2
8.207786272,77.39951835,-2.12E-05,3.3
8.207786043,77.39951948,-2.25E-05,3.4
8.207785807,77.39952065,-2.38E-05,3.5
8.207785564,77.39952184,-2.51E-05,3.6
8.207785314,77.39952307,-2.65E-05,3.7
8.207785057,77.39952434,-2.79E-05,3.8
8.207784794,77.39952563,-2.94E-05,3.9
8.207784523,77.39952697,-3.09E-05,4
8.207784246,77.39952833,-3.24E-05,4.1
8.207783962,77.39952973,-3.40E-05,4.2
8.207783671,77.39953116,-3.56E-05,4.3
8.207783373,77.39953263,-3.72E-05,4.4
8.207783069,77.39953413,-3.88E-05,4.5
8.207782757,77.39953566,-4.05E-05,4.6
8.207782439,77.39953723,-4.23E-05,4.7
8.207782114,77.39953883,-4.40E-05,4.8
8.207781782,77.39954046,-4.58E-05,4.9
8.207781443,77.39954213,-4.76E-05,5
8.207781097,77.39954384,-4.95E-05,5.1
8.207780744,77.39954557,-5.13E-05,5.2
8.207780385,77.39954734,-5.33E-05,5.3
8.207780019,77.39954914,-5.52E-05,5.4
8.207779646,77.39955098,-5.72E-05,5.5
8.207779266,77.39955285,-5.92E-05,5.6
8.207778879,77.39955476,-6.12E-05,5.7
8.207778485,77.39955669,-6.32E-05,5.8
8.207778085,77.39955867,-6.53E-05,5.9
8.207777677,77.39956067,-6.74E-05,6
8.207777263,77.39956271,-6.96E-05,6.1
8.207776842,77.39956478,-7.18E-05,6.2
8.207776414,77.39956689,-7.39E-05,6.3
8.20777598,77.39956903,-7.62E-05,6.4
8.207775538,77.39957121,-7.84E-05,6.5
8.20777509,77.39957341,-8.07E-05,6.6
8.207774634,77.39957565,-8.30E-05,6.7
8.207774172,77.39957793,-8.53E-05,6.8
8.207773703,77.39958024,-8.76E-05,6.9
