Latitude (deg),Longitude (deg),Altitude (m),Time (s)
37.78136667,-97.33588333,-9.31322574615479E-10,0
37.7813408111383,-97.3358819921855,-1.77696347236633E-06,1
37.7812664304955,-97.3358779310195,-7.37514346837997E-06,2
37.7811672836835,-97.3358719912328,-1.66753306984901E-05,3
37.7810485098788,-97.3358646583447,-1.04289501905441E-05,4
37.7809103560392,-97.3358566243187,-3.25236469507217E-05,5
37.7807530211487,-97.335847742325,-4.71025705337524E-05,6
37.7805796118605,-97.3358381497496,-3.49851325154305E-05,7
37.7803984880377,-97.3358377017315,-0.00125867780297995,8
37.7802147426659,-97.3358389157949,-0.00265995599329472,9
37.7800284851194,-97.3358401340001,-0.00401362124830484,10
37.7798397157534,-97.335841378453,-0.00531699694693089,11
37.7796484346991,-97.3358426354836,-0.0065672742202878,12
37.7794546422304,-97.3358439025051,-0.00776165537536144,13
37.779258338605,-97.3358451975816,-0.00889741722494364,14
37.7790595238991,-97.3358465047851,-0.00997155252844095,15
37.7788581984124,-97.3358478220315,-0.0109812365844846,16
37.7786543623042,-97.335849158496,-0.0119235459715128,17
37.7784480157477,-97.3358505150794,-0.0127954576164484,18
37.7782391589889,-97.335851891773,-0.0135939605534077,19
37.7780277921321,-97.3358532793557,-0.014316076412797,20
37.777813915361,-97.3358546862768,-0.014958624728024,21
37.7775975288855,-97.335856103901,-0.0155185461044312,22
37.7773786329133,-97.3358575410354,-0.0159926628693938,23
37.7771572276019,-97.3358589983348,-0.0163777992129326,24
37.7769333130179,-97.3358604661709,-0.0166707206517458,25
37.7767068893486,-97.3358619536846,-0.0168681526556611,26
37.776477956791,-97.3358634612963,-0.0169667946174741,27
37.7762465154818,-97.3358649792723,-0.0169633124023676,28
37.7760125655346,-97.3358665171524,-0.0168543281033635,29
37.7757761070997,-97.3358680651591,-0.0166364451870322,30
37.7755371404168,-97.335869643195,-0.0163061916828156,31
37.7752956654286,-97.3358712214144,-0.0158601012080908,32
37.7750516824487,-97.3358728296353,-0.0152946598827839,33
37.7748051915322,-97.3358744480192,-0.0146062932908535,34
37.7745561928435,-97.3358760863305,-0.0137914307415485,35
37.7743046864737,-97.3358777349036,-0.0128464186564088,36
37.7740506725692,-97.3358794033039,-0.0117676220834255,37
37.7737941512301,-97.3358810823708,-0.0105512998998165,38
37.7735351226272,-97.3358827909065,-0.00919376127421856,39
37.773273586825,-97.3358845094915,-0.00769118405878544,40
37.773009543917,-97.3358862385167,-0.00603981036692858,41
37.7727429940684,-97.3358879876843,-0.00423573143780231,42
37.772473938858,-97.3358897569203,-0.00227514747530222,43
37.7722029472615,-97.3358924119265,-0.000314281322062016,44
37.7719315669236,-97.3359095334858,-0.000794601626694202,45
37.7716602469249,-97.3359287835264,-0.00151302851736546,46
37.7713889369225,-97.3359480334858,-0.00208839308470488,47
37.771117616922,-97.3359672834859,-0.00252070836722851,48
37.7708462969214,-97.3359865334859,-0.00280997157096863,49
37.7705749769209,-97.336005783486,-0.00295617897063494,50
37.7703036569222,-97.3360250335265,-0.00295933429151773,51
37.7700323469198,-97.3360442834861,-0.00281944125890732,52
37.7697610269193,-97.3360635334861,-0.00253649335354567,53
37.7694897069188,-97.3360827834861,-0.0021104896441102,54
37.7692183869219,-97.3361020335266,-0.00154143292456865,55
37.7689470681622,-97.3361212915637,-0.000829302705824375,56
37.7686752861911,-97.3361425419158,-7.6991505920887E-05,57
37.7684048546344,-97.3361929325367,-0.000847277231514454,58
37.7681336596799,-97.3362444727049,-0.00152470916509628,59
37.7678616113344,-97.3362961735129,-0.00205789133906364,60
37.7675887096405,-97.33634803561,-0.00244543887674809,61
37.7673149556178,-97.3364000675028,-0.00268596317619085,62
37.7670403481475,-97.3364522599152,-0.0027780756354332,63
37.7667648870742,-97.336504611235,-0.00272038578987122,64
37.7664885726149,-97.3365571231935,-0.00251149665564299,65
37.7662114047625,-97.3366097957922,-0.00215000379830599,66
37.7659333835976,-97.3366626297659,-0.0016345027834177,67
37.7656545160701,-97.3367156313978,-0.000963598489761353,68
37.7653757650138,-97.3367656841777,-0.000245826318860054,69
37.7650957527232,-97.3367790057303,-0.000725866295397282,70
37.7648172887652,-97.3367817359324,-0.00143741443753242,71
37.7645406585126,-97.3367844555861,-0.00199556071311235,72
37.7642658618868,-97.3367871559296,-0.00240322668105364,73
37.7639928989229,-97.3367898451136,-0.00266333855688572,74
37.7637217694331,-97.3367925054495,-0.00277880486100912,75
37.7634524734927,-97.3367951553734,-0.00275252480059862,76
37.7631850110205,-97.3367977853699,-0.00258735660463572,77
37.7629193819529,-97.3368003953557,-0.0022861659526825,78
37.7626555862412,-97.3368029855136,-0.00185176078230143,79
37.7623936239017,-97.3368055561204,-0.00128695927560329,80
37.762133504899,-97.3368080103912,-0.000606363639235497,81
37.7618749057332,-97.3368070980083,-0.00017198733985424,82
37.7616175817748,-97.3367959215851,-0.000754034146666527,83
37.7613612916584,-97.3367847853361,-0.00120608042925596,84
37.7611060353702,-97.3367736891047,-0.00152968429028988,85
37.7608518126343,-97.3367626429961,-0.00172637589275837,86
37.7605986234317,-97.3367516463741,-0.0017976826056838,87
37.7603464680592,-97.3367406895136,-0.00174513272941113,88
37.7600953464604,-97.3367297730009,-0.00157023686915636,89
37.7598452583843,-97.3367189061935,-0.00127450842410326,90
37.7595962038209,-97.336708089381,-0.000859455205500126,91
37.7593481386444,-97.3366972669059,-0.000330610200762749,92
37.7591007268384,-97.3366825518904,-5.78202307224274E-05,93
37.7588538772075,-97.3366635074536,-9.17445868253708E-05,94
37.7586153178741,-97.336655208309,-1.04205682873726E-05,95
37.7584292196055,-97.3368368357629,-1.37137249112129E-05,96
37.7583879494728,-97.3371488445681,-6.64778053760529E-06,97
37.7583519548826,-97.3374747473482,-3.3961609005928E-05,98
37.758292942433,-97.3378121022603,-9.96924936771393E-05,99
37.7582126502178,-97.3381663456467,-0.000146606937050819,100
37.7581151642075,-97.3385261069172,-5.99958002567291E-05,101
37.7579172123007,-97.3388173966635,-9.71211120486259E-05,102
37.7577009761708,-97.3390730374043,-5.9688463807106E-05,103
37.7574627798119,-97.3392796942224,-0.000133359804749489,104
37.7572213976376,-97.3394639469226,-0.000152761116623878,105
37.7569893773241,-97.3396514986117,-4.24934551119804E-05,106
37.7568238489567,-97.3399343110081,-9.45115461945534E-05,107
37.7566785288823,-97.3402354870177,-7.81547278165817E-05,108
37.7565981453976,-97.3405735280914,-0.000250028446316719,109
37.7565674064765,-97.3409239690819,-0.000505425035953522,110
37.7565369655426,-97.3412710247461,-0.000609372742474079,111
37.7565068132906,-97.3416146939266,-0.000566214323043823,112
37.7564769594209,-97.3419549813528,-0.000380241312086582,113
37.7564492327325,-97.3422931440022,-0.000106198713183403,114
37.7564563139185,-97.3426329510796,-0.000626861117780209,115
37.7564712782043,-97.3429725612369,-0.00121807679533958,116
37.7564862324597,-97.3433119407055,-0.0016683554276824,117
37.7565011767081,-97.3436510894855,-0.00197798386216164,118
37.7565161107899,-97.3439900075813,-0.002147251740098,119
37.7565310255355,-97.3443286956259,-0.00217643659561872,120
37.7565459395617,-97.3446671523012,-0.00206582620739937,121
37.7565608342381,-97.3450053789425,-0.00181571207940578,122
37.7565757282332,-97.3453433742364,-0.00142637360841036,123
37.7565906027528,-97.3456811396454,-0.000898091122508049,124
37.7566055324334,-97.3460187398661,-0.00036857184022665,125
37.7566216568855,-97.3463563993354,-0.00233018863946199,126
37.7566384468839,-97.3466943799235,-0.00556711386889219,127
37.7566552482955,-97.3470327489621,-0.00866813212633133,128
37.7566720780657,-97.3473715051464,-0.0116325886920094,129
37.7566889187871,-97.3477106498242,-0.0144601799547672,130
37.7567057792975,-97.3480501822963,-0.0171504030004144,131
37.7567226503838,-97.3483901033026,-0.0197026440873742,132
37.7567395506925,-97.3487304113681,-0.0221165446564555,133
37.75675646204,-97.3490711079193,-0.0243915664032102,134
37.7567734021204,-97.3494121915895,-0.0265272185206413,135
37.7567903527185,-97.34975366377,-0.0285230288282037,136
37.756807323097,-97.3500955237497,-0.0303785596042871,137
37.7568243045608,-97.3504377722375,-0.0320932744070888,138
37.7568413147117,-97.3507804078328,-0.0336666814982891,139
37.7568583354052,-97.3511234319628,-0.0350983059033751,140
37.7568753764252,-97.3514668438482,-0.0363876912742853,141
37.7568924369011,-97.351810643553,-0.0375342844054103,142
37.7569095177632,-97.3521548310132,-0.0385376624763012,143
37.7569266183334,-97.3524994062724,-0.0393973244354129,144
37.7569437296333,-97.3528443700439,-0.0401127422228456,145
37.7569608700063,-97.3531897209075,-0.0406834613531828,146
37.7569780209312,-97.3535354602954,-0.0411089826375246,147
37.7569951917479,-97.3538815874882,-0.0413888059556484,148
37.7570123818437,-97.3542281025254,-0.0415224498137832,149
37.7570295835872,-97.3545750059787,-0.0415094196796417,150
37.7570468134546,-97.3549222965945,-0.041349227540195,151
37.7570640543957,-97.3552699756779,-0.041041374206543,152
37.7570813156577,-97.3556180425462,-0.0405853549018502,153
37.7570985957109,-97.355966497289,-0.0399807076901197,154
37.7571158874999,-97.3563153404811,-0.0392269026488066,155
37.7571332077865,-97.3566645707933,-0.0383234638720751,156
37.7571505387149,-97.3570141896258,-0.0372698921710253,157
37.7571678899597,-97.3573641962089,-0.0360656706616282,158
37.7571852606703,-97.3577145906079,-0.0347103625535965,159
37.7572026517315,-97.3580653727594,-0.033203405328095,160
37.7572200620087,-97.3584165427594,-0.0315443314611912,161
37.7572374833451,-97.3587681012599,-0.0297325979918242,162
37.7572549241504,-97.3591200475909,-0.0277677997946739,163
37.7572723853049,-97.3594723816723,-0.0256493464112282,164
37.7572898663521,-97.3598251035733,-0.0233767814934254,165
37.7573073665884,-97.360178213305,-0.0209496086463332,166
37.7573248786522,-97.3605317114809,-0.0183672634884715,167
37.7573424186619,-97.3608855968211,-0.0156293790787458,168
37.7573599698014,-97.3612398706312,-0.0127353128045797,169
37.7573775401106,-97.361594532298,-0.00968462694436312,170
37.7573951222866,-97.3619495823672,-0.00647674314677715,171
37.7574127423586,-97.3623050175127,-0.00312511064112186,172
37.7574307499934,-97.3626606889561,-0.000142017379403114,173
37.7574518791762,-97.363016159041,-0.00129717402160168,174
37.7574729991766,-97.3633716390488,-0.00229776743799448,175
37.7574941191771,-97.3637271190566,-0.00314384698867798,176
37.7575152391776,-97.3640825990644,-0.00383540336042643,177
37.757536359178,-97.3644380790722,-0.00437244307249784,178
37.7575574791785,-97.36479355908,-0.00475496239960194,179
37.7575785991789,-97.3651490390878,-0.00498296413570642,180
37.7575997191794,-97.3655045190956,-0.00505644269287586,181
37.7576208384081,-97.3658599991761,-0.00497540552169085,182
37.7576419484085,-97.3662154791839,-0.00473984610289335,183
37.7576630591808,-97.366570959119,-0.00434977281838655,184
37.7576841784095,-97.3669264391995,-0.00380517821758986,185
37.7577052884099,-97.3672819192073,-0.00310606323182583,186
37.7577263984104,-97.3676373992151,-0.00225242972373962,187
37.7577475085936,-97.3679928830768,-0.0012442683801055,188
37.7577653230843,-97.3683491062394,-0.000179054215550423,189
37.7577438293733,-97.3687067644743,-0.000133007764816284,190
37.7577152021852,-97.3690643686227,-0.000128617510199547,191
37.7576731831313,-97.3694205712489,-7.85160809755325E-05,192
37.7575722668597,-97.3697594857471,-0.00037881825119257,193
37.7574712051769,-97.3700984918479,-0.00051968265324831,194
37.757370110592,-97.3704376410903,-0.000500977039337158,195
37.7572689402545,-97.3707769015904,-0.000322511419653893,196
37.7571643398037,-97.3711133556262,-4.40999865531921E-05,197
37.7570233048497,-97.3714277124229,-0.000253901816904545,198
37.756880204867,-97.371740592385,-0.000337180681526661,199
37.7567371011251,-97.3720534805665,-0.00026174820959568,200
37.7565893490085,-97.3723641359232,-7.74627551436424E-05,201
37.7563949662726,-97.3726423765821,-0.000278165563941002,202
37.7561868554316,-97.3729200011074,-0.000419767573475838,203
37.7559728842388,-97.3732054239923,-0.000380164943635464,204
37.7557504582379,-97.37349013258,-0.000205161049962044,205
37.7554922180441,-97.3737325364194,-0.000267557799816132,206
37.7552064020156,-97.3739286900578,-0.000536075793206692,207
37.7549194740119,-97.3741256173793,-0.000599408522248268,208
37.7546314508728,-97.374323283845,-0.000455157831311226,209
37.7543402006285,-97.3745109104388,-0.000193356536328793,210
37.7540270359307,-97.3746368918049,-0.000287336297333241,211
37.7537055062056,-97.3747297632676,-0.000461321324110031,212
37.7533840031182,-97.3748226354933,-0.000424567610025406,213
37.7530633788707,-97.3749104903816,-0.000227118842303753,214
37.7527471073956,-97.3749650283386,-0.000161631964147091,215
37.7524430905952,-97.3749797423741,-0.000305207446217537,216
37.7521559532967,-97.3749936398397,-0.000276157632470131,217
37.7518841641067,-97.3750061461049,-0.00012371689081192,218
37.7516193164351,-97.3750045196355,-0.000320648774504662,219
37.751355034702,-97.3749930043323,-0.000727548263967037,220
37.751090531329,-97.3749814793547,-0.000999151729047298,221
37.7508258063528,-97.3749699434626,-0.00113512855023146,222
37.7505608599868,-97.3749583888008,-0.00113513320684433,223
37.7502956917552,-97.3749468332137,-0.000998813658952713,224
37.7500303019136,-97.3749352684321,-0.000725839287042618,225
37.7497647121365,-97.3749238852492,-0.000374250113964081,226
37.7494989105172,-97.3749165679245,-0.00119754672050476,227
37.7492330105167,-97.3749163079249,-0.00415172800421715,228
37.7489671005161,-97.3749160479245,-0.00696895085275173,229
37.7487012005155,-97.3749157879249,-0.00964919477701187,230
37.7484352905149,-97.3749155279245,-0.0121924793347716,231
37.7481693905144,-97.3749152679249,-0.0145987877622247,232
37.7479034805138,-97.3749150079245,-0.0168681340292096,233
37.7476375805132,-97.3749147479249,-0.0190005041658878,234
37.7473716705127,-97.3749144879245,-0.0209959130734205,235
37.7471057705121,-97.374914227925,-0.0228543458506465,236
37.7468398605115,-97.3749139679245,-0.0245758155360818,237
37.746573960511,-97.3749137079249,-0.0261603146791458,238
37.7463080505104,-97.3749134479245,-0.0276078460738063,239
37.7460421505098,-97.3749131879249,-0.0289184050634503,240
37.7457762405093,-97.3749129279245,-0.030091998167336,241
37.7455103405087,-97.3749126679249,-0.0311286207288504,242
37.7452444305082,-97.3749124079245,-0.0320282755419612,243
37.7449785305076,-97.3749121479249,-0.0327909598127007,244
37.744712620507,-97.3749118879245,-0.0334166791290045,245
37.7444467205065,-97.3749116279249,-0.0339054260402918,246
37.7441808105059,-97.3749113679249,-0.0342572052031755,247
37.7439149005054,-97.3749111079245,-0.0344720128923655,248
37.7436490005048,-97.374910847925,-0.0345498556271195,249
37.7433830905042,-97.3749105879245,-0.0344907268881798,250
37.7431171905037,-97.374910327925,-0.034294631332159,251
37.7428512805031,-97.3749100679245,-0.0339615643024445,252
37.7425853805026,-97.374909807925,-0.0334915295243263,253
37.742319470502,-97.3749095479245,-0.0328845242038369,254
37.7420535705015,-97.374909287925,-0.0321405548602343,255
