Latitude (deg),Longitude (deg),Altitude (m),Time (s)
0,0,0,0
4.52184738525191E-06,0,0,0.1
1.35655421557526E-05,0,0,0.2
2.26092369262585E-05,0,0,0.3
3.16529316967644E-05,0,0,0.4
4.06966264672651E-05,0,0,0.5
4.97403212377709E-05,0,0,0.6
5.87840160082716E-05,0,0,0.7
6.78277107787772E-05,0,0,0.8
7.6871405549283E-05,0,0,0.9
8.59151003197836E-05,0,0,1
9.49587950902892E-05,0,0,1.1
0.00010400248986079,0,0,1.2
0.000113046184631296,0,0,1.3
0.000122089879401801,0,0,1.4
0.000131133574172301,0,0,1.5
0.000140177268942807,0,0,1.6
0.000149220963713307,0,0,1.7
0.000158264658483812,0,0,1.8
0.000167308353254317,0,0,1.9
0.000176352048024816,0,0,2
0.000185395742795321,0,0,2.1
0.000194439437565821,0,0,2.2
0.000203483132336326,0,0,2.3
0.000212526827106831,0,0,2.4
0.00022157052187733,0,0,2.5
0.000230614216647835,0,0,2.6
0.000239657911418334,0,0,2.7
0.000248701606188838,0,0,2.8
0.000257745300959342,0,0,2.9
0.000266788995729841,0,0,3
0.000275832690500345,0,0,3.1
0.000284876385270844,0,0,3.2
0.000293920080041348,0,0,3.3
0.000302963774811851,0,0,3.4
0.000312007469582349,0,0,3.5
0.000321045491615661,2.24671822045641E-07,-9.31322574615479E-10,3.6
0.000329897589280402,2.00802544342858E-06,-1.86264514923096E-09,3.7
0.000338216219438407,5.50337627022402E-06,-9.31322574615479E-10,3.8
0.000345669473250751,1.05712456681804E-05,0,3.9
0.000351959973117374,1.70094127022612E-05,0,4
0.000356836737747372,2.45609832621636E-05,0,4.1
0.000360105195921172,3.29246405783403E-05,-9.31322574615479E-10,4.2
0.000361634949411309,4.17666681156314E-05,0,4.3
0.000361364975340208,5.07342651171944E-05,9.31322574615479E-10,4.4
0.000359306060422264,5.94696234988842E-05,9.31322574615479E-10,4.5
0.000355540369986703,6.76242044204909E-05,-9.31322574615479E-10,4.6
0.000350218169000641,7.48726448980098E-05,0,4.7
