Latitude (deg),Longitude (deg),Altitude (m),Time (s)
0,0,0,0
0,8.98E-05,0,0.1
0,0.000179663,0,0.2
0,0.000269495,0,0.3
0,0.000359326,0,0.4
0,0.000449158,0,0.5
0,0.000538989,0,0.6
0,0.000628821,0,0.7
0,0.000718652,0,0.8
0,0.000808484,0,0.9
0,0.000898315,0,1
0,0.000988147,0,1.1
0,0.001077978,0,1.2
0,0.00116781,0,1.3
0,0.001257641,0,1.4
0,0.001347473,0,1.5
0,0.001437304,0,1.6
0,0.001527136,0,1.7
0,0.001616968,0,1.8
0,0.001706799,0,1.9
0,0.001796631,0,2
0,0.001886462,0,2.1
0,0.001976294,0,2.2
0,0.002066125,0,2.3
0,0.002155957,0,2.4
0,0.002245788,0,2.5
0,0.00233562,0,2.6
0,0.002425451,0,2.7
0,0.002515283,0,2.8
0,0.002605114,0,2.9
0,0.002694946,0,3
0,0.002784777,0,3.1
0,0.002874609,0,3.2
0,0.00296444,0,3.3
0,0.003054272,0,3.4
0,0.003144103,0,3.5
0,0.003233935,0,3.6
0,0.003323767,0,3.7
0,0.003413598,0,3.8
0,0.00350343,0,3.9
0,0.003593261,0,4
0,0.003683093,0,4.1
0,0.003772924,0,4.2
0,0.003862756,0,4.3
0,0.003952587,0,4.4
0,0.004042419,0,4.5
0,0.00413225,0,4.6
0,0.004222082,0,4.7
0,0.004311913,0,4.8
0,0.004401745,0,4.9
0,0.004491576,0,5
0,0.004581408,0,5.1
0,0.004671239,0,5.2
0,0.004761071,0,5.3
0,0.004850903,0,5.4
0,0.004940734,0,5.5
0,0.005030566,0,5.6
0,0.005120397,0,5.7
0,0.005210229,0,5.8
0,0.00530006,0,5.9
0,0.005389892,0,6
0,0.005479723,0,6.1
0,0.005569555,0,6.2
0,0.005659386,0,6.3
0,0.005749218,0,6.4
0,0.005839049,0,6.5
0,0.005928881,0,6.6
0,0.006018712,0,6.7
0,0.006108544,0,6.8
0,0.006198375,0,6.9
0,0.006288207,0,7
0,0.006378039,0,7.1
0,0.00646787,0,7.2
0,0.006557702,0,7.3
0,0.006647533,0,7.4
0,0.006737365,0,7.5
0,0.006827196,0,7.6
0,0.006917028,0,7.7
0,0.007006859,0,7.8
0,0.007096691,0,7.9
0,0.007186522,0,8
0,0.007276354,0,8.1
0,0.007366185,0,8.2
0,0.007456017,0,8.3
0,0.007545848,0,8.4
0,0.00763568,0,8.5
0,0.007725511,0,8.6
0,0.007815343,0,8.7
0,0.007905175,0,8.8
0,0.007995006,0,8.9
0,0.008084838,0,9
0,0.008174669,0,9.1
0,0.008264501,0,9.2
0,0.008354332,0,9.3
0,0.008444164,0,9.4
0,0.008533995,0,9.5
0,0.008623827,0,9.6
0,0.008713658,0,9.7
0,0.00880349,0,9.8
0,0.008893321,0,9.9
0,0.008983153,0,10
0,0.009072984,0,10.1
0,0.009162816,0,10.2
0,0.009252647,0,10.3
0,0.009342479,0,10.4
0,0.00943231,0,10.5
0,0.009522142,0,10.6
0,0.009611974,0,10.7
0,0.009701805,0,10.8
0,0.009791637,0,10.9
0,0.009881468,0,11
0,0.0099713,0,11.1
0,0.010061131,0,11.2
0,0.010150963,0,11.3
0,0.010240794,0,11.4
0,0.010330626,0,11.5
0,0.010420457,0,11.6
0,0.010510289,0,11.7
0,0.01060012,0,11.8
0,0.010689952,0,11.9
0,0.010779783,0,12
0,0.010869615,0,12.1
0,0.010959446,0,12.2
0,0.011049278,0,12.3
0,0.01113911,0,12.4
0,0.011228941,0,12.5
0,0.011318773,0,12.6
0,0.011408604,0,12.7
0,0.011498436,0,12.8
0,0.011588267,0,12.9
0,0.011678099,0,13
0,0.01176793,0,13.1
0,0.011857762,0,13.2
0,0.011947593,0,13.3
0,0.012037425,0,13.4
0,0.012127256,0,13.5
0,0.012217088,0,13.6
0,0.012306919,0,13.7
0,0.012396751,0,13.8
0,0.012486582,0,13.9
0,0.012576414,0,14
0,0.012666246,0,14.1
0,0.012756077,0,14.2
0,0.012845909,0,14.3
0,0.01293574,0,14.4
0,0.013025572,0,14.5
0,0.013115403,0,14.6
0,0.013205235,0,14.7
0,0.013295066,0,14.8
0,0.013384898,0,14.9
0,0.013474729,0,15
0,0.013564561,0,15.1
0,0.013654392,0,15.2
0,0.013744224,0,15.3
0,0.013834055,0,15.4
0,0.013923887,0,15.5
0,0.014013718,0,15.6
0,0.01410355,0,15.7
0,0.014193381,0,15.8
0,0.014283213,0,15.9
0,0.014373045,0,16
0,0.014462876,0,16.1
0,0.014552708,0,16.2
0,0.014642539,0,16.3
0,0.014732371,0,16.4
0,0.014822202,0,16.5
0,0.014912034,0,16.6
0,0.015001865,0,16.7
0,0.015091697,0,16.8
0,0.015181528,0,16.9
0,0.01527136,0,17
0,0.015361191,0,17.1
0,0.015451023,0,17.2
0,0.015540854,0,17.3
0,0.015630686,0,17.4
0,0.015720517,0,17.5
0,0.015810349,0,17.6
0,0.015900181,0,17.7
0,0.015990012,0,17.8
0,0.016079844,0,17.9
0,0.016169675,0,18
0,0.016259507,0,18.1
0,0.016349338,0,18.2
0,0.01643917,0,18.3
0,0.016529001,0,18.4
0,0.016618833,0,18.5
0,0.016708664,0,18.6
0,0.016798496,0,18.7
0,0.016888327,0,18.8
0,0.016978159,0,18.9
0,0.01706799,0,19
0,0.017157822,0,19.1
0,0.017247653,0,19.2
0,0.017337485,0,19.3
0,0.017427317,0,19.4
